# PDFs do proton: xf(x,Q^2), HERAPDF2.0 LO (parametrizacao de gluon alternativa)
# H1 and ZEUS Collaborations, Eur. Phys. J. C 75 (2015) 580, arXiv:1506.06042
# fonte: https://www.desy.de/h1zeus/herapdf20/grids_151021_lhapdf/HERAPDF20_LO_EIG.tgz
# extraido do membro central (0000) por interpolacao bilinear em (ln x, ln Q)
# Q2[GeV^2]  x  xu_v  xd_v  xubar  xdbar  xs  xc  xb  xg
10.0 7.625395e-05 1.295596e-02 3.159359e-03 1.087724e+00 1.087171e+00 8.752226e-01 4.302560e-01 0.000000e+00 3.386563e+01
10.0 8.033124e-05 1.334196e-02 3.278231e-03 1.074874e+00 1.074299e+00 8.645162e-01 4.240955e-01 0.000000e+00 3.333117e+01
10.0 8.462654e-05 1.375065e-02 3.406097e-03 1.062295e+00 1.061696e+00 8.540376e-01 4.180762e-01 0.000000e+00 3.281024e+01
10.0 8.915151e-05 1.416959e-02 3.538024e-03 1.049839e+00 1.049215e+00 8.436619e-01 4.121206e-01 0.000000e+00 3.229541e+01
10.0 9.391843e-05 1.458852e-02 3.669952e-03 1.037383e+00 1.036734e+00 8.332861e-01 4.061650e-01 0.000000e+00 3.178059e+01
10.0 9.894023e-05 1.503931e-02 3.814466e-03 1.025257e+00 1.024580e+00 8.231875e-01 4.003811e-01 0.000000e+00 3.128218e+01
10.0 1.042306e-04 1.549506e-02 3.960940e-03 1.013182e+00 1.012478e+00 8.131320e-01 3.946239e-01 0.000000e+00 3.078633e+01
10.0 1.098037e-04 1.595246e-02 4.108099e-03 1.001123e+00 1.000390e+00 8.030894e-01 3.888748e-01 0.000000e+00 3.029124e+01
10.0 1.156749e-04 1.644786e-02 4.271007e-03 9.894176e-01 9.886546e-01 7.933444e-01 3.833100e-01 0.000000e+00 2.981377e+01
10.0 1.218601e-04 1.694326e-02 4.433915e-03 9.777127e-01 9.769188e-01 7.835994e-01 3.777452e-01 0.000000e+00 2.933629e+01
10.0 1.283759e-04 1.744803e-02 4.600734e-03 9.660861e-01 9.652605e-01 7.739199e-01 3.722210e-01 0.000000e+00 2.886268e+01
10.0 1.352401e-04 1.798644e-02 4.781581e-03 9.547403e-01 9.538799e-01 7.644755e-01 3.668424e-01 0.000000e+00 2.840297e+01
10.0 1.424714e-04 1.852486e-02 4.962427e-03 9.433945e-01 9.424993e-01 7.550310e-01 3.614638e-01 0.000000e+00 2.794325e+01
10.0 1.500893e-04 1.908166e-02 5.151182e-03 9.321861e-01 9.312545e-01 7.457014e-01 3.561564e-01 0.000000e+00 2.749031e+01
10.0 1.581146e-04 1.966669e-02 5.352079e-03 9.211884e-01 9.202180e-01 7.365482e-01 3.509583e-01 0.000000e+00 2.704777e+01
10.0 1.665689e-04 2.025172e-02 5.552975e-03 9.101908e-01 9.091816e-01 7.273949e-01 3.457602e-01 0.000000e+00 2.660523e+01
10.0 1.754754e-04 2.086556e-02 5.766520e-03 8.993859e-01 8.983353e-01 7.184026e-01 3.406619e-01 0.000000e+00 2.617219e+01
10.0 1.848580e-04 2.150106e-02 5.989574e-03 8.887260e-01 8.876319e-01 7.095313e-01 3.356385e-01 0.000000e+00 2.574627e+01
10.0 1.947423e-04 2.213655e-02 6.212628e-03 8.780661e-01 8.769286e-01 7.006599e-01 3.306152e-01 0.000000e+00 2.532036e+01
10.0 2.051552e-04 2.281305e-02 6.454058e-03 8.676506e-01 8.664659e-01 6.919923e-01 3.257182e-01 0.000000e+00 2.490645e+01
10.0 2.161248e-04 2.350342e-02 6.701706e-03 8.573179e-01 8.560847e-01 6.833936e-01 3.208640e-01 0.000000e+00 2.449660e+01
10.0 2.276810e-04 2.419378e-02 6.949353e-03 8.469852e-01 8.457034e-01 6.747949e-01 3.160098e-01 0.000000e+00 2.408675e+01
10.0 2.398550e-04 2.493895e-02 7.222126e-03 8.369457e-01 8.356101e-01 6.664399e-01 3.113068e-01 0.000000e+00 2.369126e+01
10.0 2.526800e-04 2.568864e-02 7.496978e-03 8.269305e-01 8.255406e-01 6.581051e-01 3.066164e-01 0.000000e+00 2.329696e+01
10.0 2.661908e-04 2.644477e-02 7.774846e-03 8.169459e-01 8.155012e-01 6.497958e-01 3.019418e-01 0.000000e+00 2.290415e+01
10.0 2.804240e-04 2.725880e-02 8.079864e-03 8.072382e-01 8.057329e-01 6.417159e-01 2.974098e-01 0.000000e+00 2.252487e+01
10.0 2.954182e-04 2.807283e-02 8.384882e-03 7.975304e-01 7.959645e-01 6.336361e-01 2.928779e-01 0.000000e+00 2.214559e+01
10.0 3.112142e-04 2.890610e-02 8.699122e-03 7.879050e-01 7.862766e-01 6.256244e-01 2.883883e-01 0.000000e+00 2.177032e+01
10.0 3.278548e-04 2.978976e-02 9.037507e-03 7.784953e-01 7.767993e-01 6.177911e-01 2.840096e-01 0.000000e+00 2.140556e+01
10.0 3.453851e-04 3.067343e-02 9.375892e-03 7.690856e-01 7.673219e-01 6.099577e-01 2.796309e-01 0.000000e+00 2.104080e+01
10.0 3.638528e-04 3.159121e-02 9.731005e-03 7.598066e-01 7.579717e-01 6.022320e-01 2.753193e-01 0.000000e+00 2.068240e+01
10.0 3.833080e-04 3.255025e-02 1.010634e-02 7.506856e-01 7.487751e-01 5.946366e-01 2.710888e-01 0.000000e+00 2.033168e+01
10.0 4.038034e-04 3.350928e-02 1.048167e-02 7.415646e-01 7.395786e-01 5.870412e-01 2.668584e-01 0.000000e+00 1.998096e+01
10.0 4.253947e-04 3.451961e-02 1.088273e-02 7.326195e-01 7.305524e-01 5.795901e-01 2.627181e-01 0.000000e+00 1.963877e+01
10.0 4.481405e-04 3.556016e-02 1.129895e-02 7.237781e-01 7.216267e-01 5.722242e-01 2.586310e-01 0.000000e+00 1.930162e+01
10.0 4.721025e-04 3.660072e-02 1.171518e-02 7.149366e-01 7.127010e-01 5.648584e-01 2.545438e-01 0.000000e+00 1.896447e+01
10.0 4.973457e-04 3.771220e-02 1.216776e-02 7.063133e-01 7.039854e-01 5.576707e-01 2.505682e-01 0.000000e+00 1.863788e+01
10.0 5.239387e-04 3.884082e-02 1.262913e-02 6.977425e-01 6.953206e-01 5.505261e-01 2.466195e-01 0.000000e+00 1.831384e+01
10.0 5.519537e-04 3.996943e-02 1.309050e-02 6.891718e-01 6.866558e-01 5.433815e-01 2.426708e-01 0.000000e+00 1.798980e+01
10.0 5.814665e-04 4.119150e-02 1.360087e-02 6.808583e-01 6.782376e-01 5.364462e-01 2.388535e-01 0.000000e+00 1.767820e+01
10.0 6.125575e-04 4.241530e-02 1.411215e-02 6.725495e-01 6.698239e-01 5.295147e-01 2.350386e-01 0.000000e+00 1.736683e+01
10.0 6.453108e-04 4.365536e-02 1.463214e-02 6.642809e-01 6.614484e-01 5.226157e-01 2.312442e-01 0.000000e+00 1.705740e+01
